# Status_Effects_Data.txt
#
# File contains information on "display" status effects which are shown to the user
# as well as "internal" status effects, which are used to represent components of display status effects
# and are used to actually modify the properties of the monsters/players they affect.
#
# If a non-zero magnitude is supplied to the Combat.addStatus method, it overrides any zero 
# value declared here. If the magnitude declared here is 0, it probably indicates the magnitude is intended 
# to be supplied to (and overridden by) the calling method.  If the magnitude is negative, it indicates that 
# the absolute value of the number provided should be multiplied by the provided magnitude from the upper layer.
#
# The IMMUNE tag is applied when the status is an internal debuff.  The IMMUNE tag is not implemented as of this writing.
# There are three settings for this tag:
#   None (implied when no tag is present) -- all monsters can be affected
#   Boss -- only extremely powerful monsters ignore this effect completely
#   Strong -- somewhat powerful monsters (and bosses) ignore this effect completely
#
# The CATEGORY tag will assign category to the ability to indicate things such as
# whether an ability is considered a buff or debuff or a spellsword enchantment etc.
#
# The RECURRING tag uses either True or False to determine if this Internal property needs to be reapplied 
# during the upkeep phase of each turn.
#
# Any other confusing tags are likely an artifact of an older implementation strategy for status effect parsing and 
# interpretation that is no longer in use.  Tags that are currently in use or that will eventually be used are:
#
# NAME, TYPE, RECURRING, IMMUNE, IMAGE, ELEMENT, INTERNAL, MAGNITUDE, CATEGORY
# Of those, only IMMUNE has not yet been in use.


# Internal Effects -- Must be listed before Display Effects
	
#[NAME: AI_attack_nearby]
#  [TYPE: Internal]
#  [RECURRING: False]
#  [IMMUNE: Strong]

#[NAME: AI_flee]
#  [TYPE: Internal]
#  [RECURRING: False]
#  [IMMUNE: Boss]
  
  [INTERNAL: Trap_evade_penalty]
    [MAGNITUDE: 12]
  [CATEGORY: Debuff] 
	
# Display Effects -- Marksman Skills

[NAME: Laying in Wait]
  [TYPE: Display]
  [IMAGE: skills/marksman_skills/laying-in-wait.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 0]

[NAME: Suppressing Fire]
  [TYPE: Display]
  [IMAGE: skills/marksman_skills/suppressing-fire.png]
  [ELEMENT: None]
  [INTERNAL: On_hit_suppressing_weapon]
    [MAGNITUDE: 0]

[NAME: Suppressed]
  [TYPE: Display]
  [IMAGE: skills/marksman_skills/suppressing-fire.png]
  [ELEMENT: None]
  [INTERNAL: Melee_accuracy_penalty]
    [MAGNITUDE: 5]
  [INTERNAL: Ranged_accuracy_penalty]
    [MAGNITUDE: 5]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 5]
	
[NAME: Crippled]
  [TYPE: Display]
  [IMAGE: skills/marksman_skills/suppressing-fire.png]
  [ELEMENT: None]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 1]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 5]

[NAME: Smoking Projectile]
  [TYPE: Display]
  [IMAGE: skills/marksman_skills/smoking-projectile.png]
  [ELEMENT: Fire]
  [INTERNAL: Damage_over_time]
    [MAGNITUDE: 0]
  [INTERNAL: Melee_accuracy_penalty]
    [MAGNITUDE: 10]
  [INTERNAL: Ranged_accuracy_penalty]
    [MAGNITUDE: 10]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 10]
  [CATEGORY: Debuff] 
	
[NAME: Beacon Trap]
  [TYPE: Display]
  [IMAGE: skills/marksman_skills/beacon-trap.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_dodge_penalty]
    [MAGNITUDE: 15]
  [INTERNAL: Magic_resist_penalty]
    [MAGNITUDE: 3]
	
# Display Effects -- Druid Skills

[NAME: Deep Wound]
  [TYPE: Display]
  [IMAGE: skills/druid_skills/deep-wound.png]
  [ELEMENT: None]
  [INTERNAL: Bleeding]
    [MAGNITUDE: 10]
	
[NAME: Painful Shot]
  [TYPE: Display]
  [IMAGE: skills/druid_skills/painful-shot.png]
  [ELEMENT: None]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 10]
  [CATEGORY: Debuff]
	
[NAME: Poisonous Touch]
  [TYPE: Display]
  [IMAGE: skills/druid_skills/poisonous-touch.png]
  [ELEMENT: Poison]
  [INTERNAL: Damage_over_time]
    [MAGNITUDE: 0]
	
[NAME: Target Throat]
  [TYPE: Display]
  [IMAGE: skills/druid_skills/target-throat.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_critical_magnitude_bonus]
    [MAGNITUDE: 30]
  [INTERNAL: Ranged_accuracy_penalty]
    [MAGNITUDE: 3]
  [INTERNAL: Applied_poison_rating_bonus]
    [MAGNITUDE: 5]
  [INTERNAL: Target_throat_internal]
    [MAGNITUDE: 0]
  [CATEGORY: Buff] 
	
[NAME: Poison Thorn Trap]
  [TYPE: Display]
  [IMAGE: skills/druid_skills/poison-thorn-trap.png]
  [ELEMENT: Poison]
  [INTERNAL: Damage_over_time]
    [MAGNITUDE: 0]

[NAME: Lethargic Shot]
  [TYPE: Display]
  [IMAGE: skills/druid_skills/lethargic-shot.png]
  [ELEMENT: Poison]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 1]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 5]
  [INTERNAL: Melee_accuracy_penalty]
    [MAGNITUDE: 2]
  [INTERNAL: Ranged_accuracy_penalty]
    [MAGNITUDE: 2]
  [CATEGORY: Debuff]
	
# Display Effects -- Tactician

[NAME: Accuracy Favor]
  [TYPE: Display]
  [IMAGE: skills/tactician_skills/accuracy-favor.png]
  [ELEMENT: Arcane]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
[NAME: Improved Accuracy Favor]
  [TYPE: Display]
  [IMAGE: skills/tactician_skills/accuracy-favor.png]
  [ELEMENT: Arcane]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 0] 
  [CATEGORY: Buff]
	
[NAME: Magical Dampening Trap]
  [TYPE: Display]
  [IMAGE: skills/tactician_skills/magical-dampening-trap.png]
  [ELEMENT: Arcane]
  [INTERNAL: Spellpower_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]

#[NAME: Mage Hunting]
#  [TYPE: Display]
#  [IMAGE: skills/tactician_skills/mage-hunting.png]
#  [ELEMENT: Arcane]
#  [INTERNAL: Ranged_accuracy_bonus]
#    [MAGNITUDE: 2]
#  [INTERNAL: Overall_damage_bonus]
#    [MAGNITUDE: 10]
#  [INTERNAL: On_hit_mage_hunting]
#    [MAGNITUDE: 8]
	
# If the magnitude of on hit mage hunting is changed, also change the magnitude of Hunted's spell failure chance to match it.

[NAME: Hunted]
  [TYPE: Display]
  [IMAGE: skills/tactician_skills/mage-hunting.png]
  [ELEMENT: Arcane]
  [INTERNAL: Spell_failure_chance]
    [MAGNITUDE: 8]
  
[NAME: Mighty Favor]
  [TYPE: Display]
  [IMAGE: skills/tactician_skills/mighty-favor.png]
  [ELEMENT: Arcane]
  [INTERNAL: Might_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
# Display Effects -- Nightblade
	
[NAME: Shroud]
  [TYPE: Display]
  [IMAGE: skills/nightblade_skills/shroud.png]
  [ELEMENT: Shadow]
  [INTERNAL: Avoidance]
    [MAGNITUDE: 20]
  [CATEGORY: Buff]
	
[NAME: Hex]
  [TYPE: Display]
  [IMAGE: skills/nightblade_skills/hex.png]
  [ELEMENT: Shadow]
  [INTERNAL: Slashing_resist_penalty]
    [MAGNITUDE: 25]
  [INTERNAL: DR_penalty]
    [MAGNITUDE: 10]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 25]
  [CATEGORY: Debuff]
	
[NAME: Dark Intent]
  [TYPE: Display]
  [IMAGE: skills/nightblade_skills/dark-intent.png]
  [ELEMENT: Shadow]
  [INTERNAL: Weapon_damage_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
[NAME: Seeping Darkness]
  [TYPE: Display]
  [IMAGE: skills/nightblade_skills/seeping-darkness.png]
  [ELEMENT: Shadow]
  [INTERNAL: Damage_over_time]
    [MAGNITUDE: 0]
	
# Display Effects -- Shadow
	
[NAME: Shadow Walk]
  [TYPE: Display]
  [IMAGE: skills/shadow_skills/shadow-walk.png]
  [ELEMENT: None]
  [INTERNAL: Set_movement_AP_cost]
    [MAGNITUDE: 6]
  [INTERNAL: Avoidance]
    [MAGNITUDE: 15]
  [CATEGORY: Stealth]

#[NAME: Sudden Flurry]
#  [TYPE: Display]
#  [IMAGE: skills/shadow_skills/sudden-flurry.png]
#  [ELEMENT: None]
#  [INTERNAL: Sudden_flurry_internal]
#    [MAGNITUDE: 0]
	
#[NAME: Stealthy Sudden Flurry]
#  [TYPE: Display]
#  [IMAGE: skills/shadow_skills/sudden-flurry.png]
#  [ELEMENT: None]
#  [INTERNAL: Sudden_flurry_internal_stealth]
#    [MAGNITUDE: 0]
	
[NAME: Sudden Flurry Surprise]
  [TYPE: Display]
  [IMAGE: skills/shadow_skills/sudden-flurry.png]
  [ELEMENT: None]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 5]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 4]
  [CATEGORY: Debuff]
	
# Display Effects -- Assassin

[NAME: Sneaky Sneaky]
  [TYPE: Display]
  [IMAGE: skills/assassin_skills/sneaky-sneaky.png]
  [ELEMENT: None]
  [INTERNAL: Sneak_bonus]
    [MAGNITUDE: 8]
  [INTERNAL: Critical_chance_bonus]
    [MAGNITUDE: 5]
  [INTERNAL: Critical_magnitude_bonus]
    [MAGNITUDE: 10]
  [CATEGORY: Buff]
  
[NAME: Massive Shot]
  [TYPE: Display]
  [IMAGE: skills/assassin_skills/massive-shot.png]
  [ELEMENT: None]
  [INTERNAL: Sneak_penalty]
    [MAGNITUDE: 5]
  [CATEGORY: Debuff]
	
[NAME: Risky Shot]
  [TYPE: Display]
  [IMAGE: skills/assassin_skills/risky-shot.png]
  [ELEMENT: None]
  [INTERNAL: Bleeding]
    [MAGNITUDE: 5]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 5]
	
# Display Effects -- Ninja

[NAME: Conceal]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/conceal.png]
  [ELEMENT: None]
  [INTERNAL: Avoidance]
    [MAGNITUDE: 40]
  [INTERNAL: Set_maximum_stealth_break_chance]
    [MAGNITUDE: 40]
  [CATEGORY: Stealth]

[NAME: Southern Tiger Style]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/southern-tiger.png]
  [ELEMENT: None]
  [INTERNAL: Tiger_style]
    [MAGNITUDE: 0]

[NAME: Flying Crane Style]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/flying-crane.png]
  [ELEMENT: None]
  [INTERNAL: Crane_style]
    [MAGNITUDE: 0]
	
[NAME: Way of the Serpent Style]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/way-of-the-serpent.png]
  [ELEMENT: None]
  [INTERNAL: Snake_style]
    [MAGNITUDE: 0]
	
[NAME: Swift Panther Style]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/swift-panther.png]
  [ELEMENT: None]
  [INTERNAL: Panther_style]
    [MAGNITUDE: 0]
	
[NAME: Dragon Master Style]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/dragon-master.png]
  [ELEMENT: None]
  [INTERNAL: Dragon_style]
    [MAGNITUDE: 0]
	
[NAME: Pin]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/pin.png]
  [ELEMENT: None]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 5]
  [CATEGORY: Debuff]

[NAME: Bait]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/bait.png]
  [ELEMENT: None]
  [REMOVED_ON: Melee Counterattack Complete]
  [INTERNAL: Melee_dodge_bonus]
    [MAGNITUDE: 10]
  [INTERNAL: Prepare_melee_dodge_counterattack]
	[MAGNITUDE: 0]
  [INTERNAL: Overall_damage_bonus]
    [CONDITIONAL: Using Crane Style]
	[MAGNITUDE: 50]
  [INTERNAL: Overall_damage_bonus]
    [CONDITIONAL: Using Dragon Style]
	[MAGNITUDE: 20]
  [INTERNAL: Melee_accuracy_bonus]
    [CONDITIONAL: Using Dragon Style]
	[MAGNITUDE: 4]
  [INTERNAL: Melee_accuracy_bonus]
    [CONDITIONAL: Using Snake Style]
	[MAGNITUDE: 10]
	
[NAME: Whittle Away]
  [TYPE: Display]
  [IMAGE: skills/ninja_skills/whittle-away.png]
  [ELEMENT: None]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 15]
  [CATEGORY: Debuff]
	
# Display Effects -- Battlemage

[NAME: Buffer Strike]
  [TYPE: Display]
  [IMAGE: skills/battlemage_skills/buffer-strike.png]
  [ELEMENT: Arcane]
  [INTERNAL: HP_buffer]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
[NAME: Inner Might]
  [TYPE: Display]
  [IMAGE: skills/battlemage_skills/inner-might.png]
  [ELEMENT: Arcane]
  [INTERNAL: Might_bonus]
    [MAGNITUDE: 0]
  [REMOVED_ON: MP < 75%]
  [CATEGORY: Buff]
  
[NAME: Deflecting Rod]
  [TYPE: Display]
  [IMAGE: skills/battlemage_skills/deflecting-rod.png]
  [ELEMENT: Electric]
  [INTERNAL: Magic_resist_bonus]
    [MAGNITUDE: 4]
  [INTERNAL: Elemental_resistance_electric]
    [MAGNITUDE: 10]
  [CATEGORY: Buff]
	
# Display Effects -- Arcane Archer Skills

[NAME: Arcane Threading]
  [TYPE: Display]
  [IMAGE: skills/arcane_archer_skills/arcane-threading.png]
  [ELEMENT: Arcane]
  [INTERNAL: Weapon_damage_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Threading]
  
[NAME: Electric Threading]
  [TYPE: Display]
  [IMAGE: skills/arcane_archer_skills/electric-threading.png]
  [ELEMENT: Electric]
  [INTERNAL: Weapon_damage_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Threading]
	
[NAME: Warp Shot]
  [TYPE: Display]
  [IMAGE: skills/arcane_archer_skills/warp-shot.png]
  [ELEMENT: None]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 3]
  [CATEGORY: Debuff]
	
[NAME: Precision Threading]
  [TYPE: Display]
  [IMAGE: skills/arcane_archer_skills/precision-threading.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 9]
  [INTERNAL: Critical_chance_bonus]
    [MAGNITUDE: 3]
  [INTERNAL: Arcane_archer_mana_regen_penalty]
    [MAGNITUDE: 2]
  [CATEGORY: Buff]
  [CATEGORY: Threading]
	
# Display Effects -- Trickster Skills
	
[NAME: Sidestep]
  [TYPE: Display]
  [IMAGE: skills/trickster_skills/sidestep.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_bonus]
    [MAGNITUDE: 3]
  [CATEGORY: Buff]
	
[NAME: Risky Focus]
  [TYPE: Display]
  [IMAGE: skills/trickster_skills/risky-focus.png]
  [ELEMENT: None]
  [INTERNAL: Spellpower_bonus]
    [MAGNITUDE: 6]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 5]
  [CATEGORY: Buff]
	
[NAME: Weary Bolt]
  [TYPE: Display]
  [IMAGE: skills/trickster_skills/weary-bolt.png]
  [ELEMENT: None]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]
	
[NAME: Curious Drain]
  [TYPE: Display]
  [IMAGE: skills/trickster_skills/curious-drain.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_bonus]
    [MAGNITUDE: 8]
  [CATEGORY: Buff]
	
[NAME: Curiously Sluggish]
  [TYPE: Display]
  [IMAGE: skills/trickster_skills/curious-drain.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 8]
  [CATEGORY: Debuff]
	
[NAME: Slightly Smugger]
  [TYPE: Display]
  [IMAGE: skills/trickster_skills/slightly-smugger.png]
  [ELEMENT: Arcane]
  [INTERNAL: Spellpower_bonus]
    [MAGNITUDE: 3]
  [CATEGORY: Buff]
	
# Display Effects -- Sorcerer Skills
	
[NAME: Bolster Guardian]
  [TYPE: Display]
  [IMAGE: skills/sorcerer_skills/bolster-guardian.png]
  [ELEMENT: Arcane]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 3]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 3]
  [INTERNAL: Attack_power_bonus]
    [MAGNITUDE: 10]
  [CATEGORY: Buff]

# [NAME: Empathy Shell]
#  [TYPE: Display]
#  [IMAGE: skills/sorcerer_skills/empathy-shell.png]
#  [ELEMENT: Arcane]
#  [INTERNAL: Send_empathy_damage_to_summon]  
#    [MAGNITUDE: 50]
#  [REMOVED_ON: Unsummon Guardian]
#  [REMOVED_ON: Guardian Death]
	
# Display Effects -- Traits

[NAME: Preparation]
  [TYPE: Display]
  [IMAGE: traits/fighter_traits/preparation.png]
  [ELEMENT: None]
  [INTERNAL: Melee_accuracy_bonus]
    [MAGNITUDE: 0]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]

[NAME: Wounding Projectiles]
  [TYPE: Display]
  [IMAGE: traits/ranger_traits/wounding-projectiles.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]
	
[NAME: Follow-up Expert Accuracy]
  [TYPE: Display]
  [IMAGE: traits/ranger_traits/followup-expert.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_accuracy_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]

[NAME: Follow-up Expert Force]
  [TYPE: Display]
  [IMAGE: traits/ranger_traits/followup-expert.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_force_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
[NAME: Trap Sadism]
  [TYPE: Display]
  [IMAGE: traits/ranger_traits/trap-sadism.png]
  [ELEMENT: None]
  [INTERNAL: Critical_magnitude_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]

[NAME: Mastermind]
  [TYPE: Display]
  [IMAGE: traits/ranger_traits/mastermind.png]
  [ELEMENT: None]
  [INTERNAL: Knockback_resistance_bonus]
    [MAGNITUDE: -10]
  [INTERNAL: Magic_resist_bonus]
    [MAGNITUDE: -2]
  [INTERNAL: Critical_chance_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]

# Display Effects -- Barbarian Passives

[NAME: Stunning Recovery]
  [TYPE: Display]
  [IMAGE: skills/barbarian_skills/stunning-recovery.png]
  [ELEMENT: None]
  [INTERNAL: Stunning_recovery_internal]
    [MAGNITUDE: 0]
	
# Display Effects -- Spellsword Passives

[NAME: Blades of Reduction]
  [TYPE: Display]
  [IMAGE: skills/spellsword_skills/blades-of-reduction.png]
  [ELEMENT: Fire]
  [INTERNAL: Magic_resist_penalty]
    [MAGNITUDE: 4]
  [INTERNAL: Elemental_vulnerability]
	[MAGNITUDE: 10]
  [CATEGORY: Debuff]
	
# Display Effects -- Anarchist Passives

[NAME: Celebrate Misfortune]
  [TYPE: Display]
  [IMAGE: skills/anarchist_skills/celebrate-misfortune.png]
  [ELEMENT: None]
  [INTERNAL: Critical_magnitude_bonus]
    [MAGNITUDE: 20]
  [INTERNAL: Melee_force_bonus]
    [MAGNITUDE: 10]
  [INTERNAL: Ranged_force_bonus]
    [MAGNITUDE: 10]
  [CATEGORY: Buff]

# Display Effects -- Marksman Passives

[NAME: Superior Training]
  [TYPE: Display]
  [IMAGE: skills/marksman_skills/superior-training.png]
  [ELEMENT: None]
  [INTERNAL: Ranged_accuracy]
    [MAGNITUDE: 0]
  [INTERNAL: Melee_accuracy]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
# Display Effects -- Assassin Passives

[NAME: Panic Step]
  [TYPE: Display]
  [IMAGE: skills/assassin_skills/panic-step.png]
  [ELEMENT: None]
  [INTERNAL: Dodge_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
# Display Effects -- Shadow Passives

[NAME: Bleeding Backstab]
  [TYPE: Display]
  [IMAGE: skills/thief_skills/backstab.png]
  [ELEMENT: None]
  [INTERNAL: Bleeding]
    [MAGNITUDE: 3]
  [CATEGORY: Bleeding]
	
# Display Effects -- Battlemage Passives

[NAME: Refraction]
  [TYPE: Display]
  [IMAGE: skills/battlemage_skills/refraction.png]
  [ELEMENT: Arcane]
  [INTERNAL: DR_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
	
# Display Effects -- Trickster Passives

[NAME: Double Dodge]
  [TYPE: Display]
  [IMAGE: skills/trickster_skills/double-dodge.png]
  [ELEMENT: None]
  [INTERNAL: Double_dodge_internal]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]

# Display Effects -- Hostile Traps

[NAME: Hostile Trap Slow]
  [TYPE: Display]
  [IMAGE: monster_status/hostile-trap-slow.png]
  [ELEMENT: Cold]
  [INTERNAL: Movement_tiles_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]
	
[NAME: Hostile Trap Blind]
  [TYPE: Display]
  [IMAGE: monster_status/hostile-trap-blind.png]
  [ELEMENT: Electric]
  [INTERNAL: Awareness_penalty]
    [MAGNITUDE: 0]
  [CATEGORY: Debuff]
	
# Magical Weapon Effects

[NAME: Acidic Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/acidic-magic-weapon.png]
  [ELEMENT: Poison]
  [INTERNAL: DR_penalty]
    [MAGNITUDE: 10]
  [CATEGORY: Debuff]
	
[NAME: Holy Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/holy-magic-weapon.png]
  [ELEMENT: Divine]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 20]
  [CATEGORY: Debuff]
	
[NAME: Ignite Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/ignite-magic-weapon.png]
  [ELEMENT: Fire]
  [INTERNAL: Damage_over_time]
    [MAGNITUDE: 0]
	
[NAME: Slowing Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/slowing-magic-weapon.png]
  [ELEMENT: Arcane]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 3]
  [CATEGORY: Debuff]
	
[NAME: Toxic Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/toxic-magic-weapon.png]
  [ELEMENT: Poison]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 10]
  [INTERNAL: Damage_over_time]
    [MAGNITUDE: 0]
	
[NAME: Weakening Fire Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/weakening-fire-magic-weapon.png]
  [ELEMENT: Fire]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 30]
  [CATEGORY: Debuff]
	
[NAME: Weakening Cold Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/weakening-cold-magic-weapon.png]
  [ELEMENT: Cold]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 30]
  [CATEGORY: Debuff]
  
[NAME: Weakening Electric Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/weakening-electric-magic-weapon.png]
  [ELEMENT: Electric]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 30]
  [CATEGORY: Debuff]
  
[NAME: Weakening Poison Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/weakening-poison-magic-weapon.png]
  [ELEMENT: Poison]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 30]
  [CATEGORY: Debuff]
  
[NAME: Weakening Divine Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/weakening-divine-magic-weapon.png]
  [ELEMENT: Divine]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 30]
  [CATEGORY: Debuff]
  
[NAME: Weakening Shadow Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/weakening-shadow-magic-weapon.png]
  [ELEMENT: Shadow]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 30]
  [CATEGORY: Debuff]
  
[NAME: Weakening Arcane Magic Weapon]
  [TYPE: Display]
  [IMAGE: weapon_status/weakening-arcane-magic-weapon.png]
  [ELEMENT: Arcane]
  [INTERNAL: Elemental_vulnerability]
    [MAGNITUDE: 30]
  [CATEGORY: Debuff]
  
# Display Effects -- Common

[NAME: Stun]
  [TYPE: Display]
  [IMAGE: monster_status/stun.png]
  [ELEMENT: None]
  [INTERNAL: Stun_internal]
    [MAGNITUDE: 0]
	
[NAME: Bleeding]
  [TYPE: Display]
  [IMAGE: monster_status/bleeding.png]
  [ELEMENT: None]
  [INTERNAL: Bleeding]
    [MAGNITUDE: 0]
  [CATEGORY: Bleeding]
	
# Display Effects -- Buffing Potions

[NAME: Rock Potion]
  [TYPE: Display]
  [IMAGE: item_status/rock-potion.png]
  [ELEMENT: None]
  [INTERNAL: DR_bonus]
    [MAGNITUDE: 10]
  [CATEGORY: Buff]
  [CATEGORY: Stone]
  
[NAME: Prismatic Potion]
  [TYPE: Display]
  [IMAGE: item_status/prismatic-potion.png]
  [ELEMENT: Arcane]
  [INTERNAL: Elemental_resistance_fire]
    [MAGNITUDE: 10]
  [INTERNAL: Elemental_resistance_cold]
    [MAGNITUDE: 10]
  [INTERNAL: Elemental_resistance_electric]
    [MAGNITUDE: 10]
  [CATEGORY: Buff]
  
[NAME: Vaccine]
  [TYPE: Display]
  [IMAGE: item_status/vaccine.png]
  [ELEMENT: Poison]
  [INTERNAL: Poison_tolerance_bonus]
    [MAGNITUDE: 18]
  [CATEGORY: Buff]
  
[NAME: Spirit Potion]
  [TYPE: Display]
  [IMAGE: item_status/spirit-potion.png]
  [ELEMENT: Shadow]
  [INTERNAL: Elemental_resistance_shadow]
    [MAGNITUDE: 20]
  [INTERNAL: Elemental_resistance_arcane]
    [MAGNITUDE: 5]
  [CATEGORY: Buff]
	
# Display Effects -- Applied Poisons

[NAME: Applied Basic Poison]
  [TYPE: Display]
  [IMAGE: item_status/applied-poison.png]
  [ELEMENT: Poison]
  [INTERNAL: Weapon_damage_bonus]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Applied Poison]
  
[NAME: Applied Numbing Poison]
  [TYPE: Display]
  [IMAGE: item_status/applied-poison.png]
  [ELEMENT: Poison]
  [INTERNAL: Numbing_poison_internal]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Applied Poison]

[NAME: Numbing Poison]
  [TYPE: Display]
  [IMAGE: item_status/applied-poison.png]
  [ELEMENT: Poison]
  [INTERNAL: Movement_speed_penalty]
    [MAGNITUDE: 1]
  [CATEGORY: Debuff]
  
[NAME: Applied Vile Poison]
  [TYPE: Display]
  [IMAGE: item_status/applied-poison.png]
  [ELEMENT: Poison]
  [INTERNAL: Vile_poison_internal]
    [MAGNITUDE: 0]
  [CATEGORY: Buff]
  [CATEGORY: Applied Poison]

[NAME: Vile Poison]
  [TYPE: Display]
  [IMAGE: item_status/applied-poison.png]
  [ELEMENT: Poison]
  [INTERNAL: Attack_power_penalty]
    [MAGNITUDE: 10]
  [INTERNAL: Spell_failure_chance]
    [MAGNITUDE: 3]
  [CATEGORY: Debuff]

# Display Effects -- Monster abilities

[NAME: Draconic Guard]
  [TYPE: Display]
  [IMAGE: monster_status/draconic-guard.png]
  [ELEMENT: Fire]
  [INTERNAL: Magic_resist_bonus]
    [MAGNITUDE: 0]
